type,name,phone_number,content,address,college,
식당,소주신랑 보쌈부인,0507-1467-1478,"2인 이상 현금 결제 시, 음료수 테이블당 하나 제공",충북 청주시 서원구 1순환로 674번길 26,경영대,
식당,삼미 파전 닭갈비,043-264-3158,"현금(계좌이체)시 닭갈비 인분 수만큼 1,000원 할인 / 단체 모임의 경우(15인 이상), 합산 금액 중 만원 단위 10% 할인",충북 청주시 서원구 내수동로102번길 46,경영대,
식당,이런이궈 ,070-7576-2669,테이블 당 음료 1개 기본 증정,충북 청주시 서원구 1순환로680번길 23,경영대,
식당,꼬불꼬불,0507-1464-0139,"현금 또는 계좌이체 시, 5% 할인 또는 음료수 1병 ",충북 청주시 서원구 1순환로 674번길 58,경영대,
식당,자담돈,043-268-3366,3인 이상 음료수 1개 무료,충북 청주시 서원구 내수동로108번길 51,경영대,
식당,한마음 정육식당,043-260-4942,"돼지 한 마리 메뉴 주문 시 쫄면 제공 / 돼지 반 마리 주문 시 음료 1병 제공 / 한 마리 반 주문 시 쫄면, 음료 1병 제공",충북 청주시 서원구 1순환로674번길 24,경영대,
식당,짚신 스시&롤,043-273-7076,"현금 결제 시, 테이블당 음료수 제공 (1인은 해당 없음)",충북 청주시 서원구 1순환로 674번길 14,경영대,
카페,카페더얼,010-7739-1004,"모든 음료 메뉴 1,000원 할인 (디저트, 콤보 메뉴 제외) / 카페 대관 시 시간당 5,000원 할인 + 평일: 음료 6잔 무료 제공 / 주말: 음료 제공 없음",충북 청주시 흥덕구 성봉로 289,경영대,
카페,스트라우스,043-271-7200,2만원 이상 구매 시 5% 할인,충북 청주시 흥덕구 내수동로 43,경영대,
카페,버몬트 하우스,010-3353-2585,"15,000원 이상 주문 시 10% 할인",충북 청주시 흥덕구 사직대로62번길 10,경영대,
카페,무니,0507-1431-9513,음료 500원 할인 ,충북 청주시 서원구 1순환로674번길 21,경영대,
카페,헤이밀,043-260-1125,"14시 이후 15,000원 이상 주문 시 디저트 한 개 무료 (3,500원 미만 디저트) / 18시 이후 1인당 음료+크로플 세트 500원 할인, 아메리카노 샷 추가 무료",충북 청주시 서원구 1순환로704번길 20,경영대,
카페,아르떼,0507-1463-1276,"3층 대관 할인 / 해시태그 도장으로 쿠폰 5개 적립 시 아메리카노 무료 / 10개 적립 시 모든 음료 중 한 잔 무료 / 배달 요청사항에 '충북대학교 경영대학' : 마들렌 or 더치 서비스 / 아메리카노 테이크아웃 사이즈업 시 500원 할인 / 24시간 운영 시, 23~04시 사이에 한 샷 무료 추가",충북 청주시 서원구 내수동로102번길 54,경영대,
술집,2From,010-9970-6409,"현금 결제 시, 10% 할인",충북 청주시 서원구 내수동로108번길 27,경영대,
