type,name,phone_number,content,address,college
식당,"안녕, 닭",0507-1331-5076,"1. 닭도리탕 1,000원 할인 더불어 공기밥 2개 추가제공 
2. 배달 리뷰이벤트 추가 제공 1인 제외, 반마리 이상 리뷰서비스 1가지 추가 제공 
3. 소주, 맥주 2,900원에 제공",충북 청주시 서원구 1순환로672번길 5,인문대
식당,꼬불꼬불,043-272-9988,현금(계좌이체)시 5% 할인 혹은 음료수 1병 ,충북 청주시 서원구 1순환로674번길 58,인문대
식당,파파돈,0507-1441-8933,테이블당 4인 이상 음료수 1병 또는 1인 고구마치즈볼 1개 ,충북 청주시 흥덕구 사직대로82번길 14,인문대
식당,빅돈부리,043-267-8988,현금(계좌이체)시 총액의 10% 할인과 음료수 서비스 제공,충북 청주시 서원구 1순환로674번길 62,인문대
식당,멘야마쯔리,0507-1337-3364,두 명당 음료 한 개,충북 청주시 서원구 내수동로102번길 54,인문대
식당,삼춘네 삼겹살,0507-1350-5059,4인 이상 방문시 음료수 1.25L 제공,충북 청주시 서원구 내수동로108번길 27,인문대
식당,서당골,043-262-3681,테이블당 공기밥 1개 또는 음료수 1병 서비스,충북 청주시 서원구 1순환로674번길 12,인문대
식당,이런이궈 ,070-7576-2669,테이블당 음료 1개 증정 ,충북 청주시 서원구 1순환로680번길 23,인문대
식당,자연을 담은 돈까스,043- 268-3366,3명당 음료 한 캔 서비스,충북 청주시 서원구 내수동로108번길 51,인문대
식당,삼미 파전 닭갈비,043-259-9496,"현금(계좌이체)시 닭갈비 인분 수만큼 1,000원 할인 ",충북 청주시 서원구 내수동로102번길 46,인문대
카페,카페더얼,010-7739-1004,"모든 음료 1,000원 할인",충북 청주시 흥덕구 성봉로 289,인문대
카페,아르떼,0507-1463-1276,"1. 3층 대관 할인 
2. 소담 도장으로 쿠폰 5개 적립 시 아메리카노 무료 
3. 10개 적립 시 모든 음료 중 한 잔 무료 ",충북 청주시 서원구 내수동로102번길 54,인문대
카페,무니,0507-1431-9513,음료 500원 할인 ,충북 청주시 서원구 1순환로674번길 21,인문대
카페,헤이밀,0507-1429-1194,"1. 14시 이후 15,000원 이상 주문 시 디저트 한 개 무료 
2. 18시 이후 1인당 음료+크로플 세트 500원 할인 3. 아메리카노 샷 추가 무료",충북 청주시 서원구 1순환로704번길 20,인문대
카페,버몬트하우스,0507-1443-2586,"15,000원 이상 주문 시 10% 할인",충북 청주시 흥덕구 사직대로62번길 10,인문대
카페,스트라우스,043-271-7200,"20,000원 이상 구매 시 5% 할인",충북 청주시 흥덕구 내수동로 43,인문대
술집,장미맨숀,070-5111-7586,"1. 곱도리탕 주문 시 날치알 주먹밥 서비스 
2. 테이블당 메인안주 2개 이상 주문 시 사이드메뉴 서비스 
3. 5인 이상 방문 시 닭꼬치 서비스 ",충북 청주시 서원구 내수동로114번길 41,인문대
술집,이가네 전집,043-277-2003,"음료수 1병 공짜, 현금 결제 시 5% 할인",충북 청주시 흥덕구 내수동로42번길 19,인문대
술집,443st,,"1. 음료수 무료 제공 
2. 50,000원 이상 현금결제 시 사이드메뉴 추가 지급",충북 청주시 서원구 1순환로674번길 26,인문대
술집,지리산,043-272-1883,"1. 현금 결제 시 5% 할인 
2. 5만원 이상 음료수 2병 서비스",충북 청주시 흥덕구 성봉로 299,인문대
술집,청춘상회,043-276-6686,"1. 테이블 당 음료 1병 
2. 현금 결제 시 10% 할인 (5만원 이상)",충북 청주시 서원구 1순환로672번길 48,인문대
술집,꼬막태,070-7758-3413,500ml 혹은 날치알 주먹밥 제공,충북 청주시 상당구 중앙로 14-1,인문대
술집,청송얼음막걸리,043-266-1346,음료수 제공 및 현금 결제 시 5% 할인,충북 청주시 서원구 내수동로114번길 26,인문대
술집,이프롬,0507-1317-6409,가격 상관 없이 현금 10% 할인,충북 청주시 서원구 내수동로108번길 27,인문대
술집,룸메이트,0507-1302-0823,"5만원 이상 현금(계좌이체) 시 소주 4,000원",충북 청주시 서원구 1순환로674번길 24,인문대
술집,크라운 호프,043-267-0603,4만원 이상 주문할 때마다 1만원 이하 메뉴 서비스 제공,충북 청주시 서원구 내수동로108번길 11,인문대
술집,이팔청춘,0507-1317-0350,1인당 2만원 이상 주문 시 빙수,충북 청주시 서원구 1순환로672번길 19,인문대
술집,양파링,0507-1309-2523,테이블 당 음료 1개 기본 증정,충북 청주시 서원구 1순환로674번길 22,인문대
술집,오작교,0507-1349-7205,"1. 안주 2개 시키면 전체 금액에서 5,000원 할인 
2. 테이블당 음료수 1개 증정",충북 청주시 서원구 내수동로108번길 23,인문대
술집,부산오뎅 ,010-9379-8452,현금 10% 할인 혹은 음료 서비스,충북 청주시 서원구 내수동로114번길 21,인문대
술집,우메다,043-263-7748,"20,000원 이상 주문 시 음료 서비스",충북 청주시 서원구 1순환로672번길 48,인문대
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
