type,name,phone_number,content,address,,,,
식당,장터순대국밥,0507-1322-2016,"현금, 계좌이체 후 방문하는 모든 인원에 대해 음료, 공깃밥, 특 중 택 1 제공 / 4인 이상 방문 시 위의 사항 및 순대 제공",충북 청주시 서원구 내수동로 130,충북 청주시 서원구 내수동로 130,충북 청주시 서원구 내수동로 130,충북 청주시 서원구 내수동로 130,충북 청주시 서원구 내수동로 130
식당,이모네김밥,043-222-3014,10000원 당 1000원 할인,충북 청주시 청원구 중앙로 181,,,,
식당,병천토종순대,043-271-3393,공기밥 추가 시 무료 제공,충북 청주시 서원구 예체로1번길 40,,,,
식당,25시 해장국,043-267-5677,현금결제 시 10% 할인,충북 청주시 서원구 모충로26번길 5,,,,
식당,구룡산한식,043-263-1259,공기밥 증정,충북 청주시 서원구 1순환로 765,,,,
식당,숯겹살집,043-277-8747,3% 할인,충북 청주시 서원구 예체로7번길 45,충북 청주시 서원구 예체로7번길 45,충북 청주시 서원구 예체로7번길 45,충북 청주시 서원구 예체로7번길 45,충북 청주시 서원구 예체로7번길 45
식당,해운대,043-266-1588,"술 주문 시 소주 1병 제공, 낮에 식사류 주문 시 공기밥 하나 제공",충북 청주시 서원구 예체로1번길 34,,,,
술집,주유소호프,0507-1330-7943,소주 5병 당 1병 제공,충북 청주시 서원구 모충로35번길 3 101호,,,,
술집,계림닭갈비,0507-1488-9222,소주 5병 당 1병 제공,충북 청주시 서원구 모충로 31,,,,
카페,아르떼,0507-1463-1276,"테이크아웃 : 아메리카노 자이언트 사이즈 1000원 할인 / 내점 : 음료 5잔 적립 시 아메리카노 1잔 무료, 10잔 적립 시 모든 음료 1잔 무료 / 배달 : 의대라고 요청사항에 기입 시 서비스 / 3층 대관, 대량 구매 시 할인",충북 청주시 서원구 내수동로102번길 54,,,,
기타,나우 휘트니스,0507-1411-7778,회원권 : 10% 할인 / PT : 10회분 결제 시 1회 무료,충북 청주시 서원구 예체로 23,,,,
기타,뿌셔뿌셔짐,0507-1470-1168,"회원권, 필라테스 10% 할인",충북 청주시 서원구 1순환로 767 4층,충북 청주시 서원구 1순환로 767 4층,충북 청주시 서원구 1순환로 767 4층,충북 청주시 서원구 1순환로 767 4층,
기타,다이어트 119 GYM,0507-1430-2019,"회원권, 필라테스 10% 할인",충북 청주시 흥덕구 사직대로 58 1층,,,,
기타,휘트니스 오름,010-5942-1112,"회원권, 필라테스 10% 할인",충북 청주시 서원구 1순환로 678 2층,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
