type,name,phone_number,content,address
식당,대구전봇대막창,043-272-7112,6명 이상 : 계란찜 + 음료수 / 단체 : 음료수,충북 청주시 흥덕구 내수동로 34번길 4
식당,북경탕수육,043-262-3211,배달앱 요청사항 전자정보대학 학우 입력 시 군만두 5개 or 사리 선택,충북 청주시 서원구 내수동로 130 평화아파트
식당,꼬불꼬불,043-272-9988,현금 or 계좌이체 시 음료수 1병 또는 5% 할인 중 택 1,충북 청주시 서원구 1순환로 674번길 58
식당,화로강산,0507-1398-3481,공깃밥 or 음료수,충북 청주시 서원구 내수동로 108번길 19
식당,구룡산한식,043-263-1259,공깃밥 추가 서비스 제공 (1인 1회),충북 청주시 서원구 1순환로 765
식당,25시 해장국,043-267-5677,현금 or 계좌이체 시 10% 할인,충북 청주시 서원구 모충로26번길 5
식당,황룡,043-264-9076,테이블당 음료수 1개씩 제공,충북 청주시 서원구 모충로26번길 5
식당,가마꿉치킨,0507-1348-0338,매장 이용시 10% 할인,충북 청주시 흥덕구 장구봉로 147
식당,칠돼지막창&순대,043-278-7900,15시 이후 + 현금 결제 시 5% 할인,충북 청주시 서원구 내수동로108번길 26
식당,피자웨이브,0507-1337-4418,25000원 이상 : 2000원 할인  30000원 이상 : 3000원 할인,충북 청주시 서원구 1순환로674번길 38 1층
식당,소주신랑보쌈부인,0507-1467-1478,2인 이상 + 현금 or 계좌이체 시 음료수 제공,충북 청주시 서원구 1순환로674번길 26
식당,조선주먹구이,043-264-3330,테이블당 음료수 1병 제공,충북 청주시 서원구 모충로25번길 9
식당,옆집삼겹살,010-2410-9275,공깃밥 or 음료수,충북 청주시 서원구 내수동로108번길 15
식당,몽키만두,0507-1407-9132,"10000원 이상 결제 시 355ml 음료(사이다, 콜라) 제공",충북 청주시 흥덕구 사직대로 62 101호
식당,인생만두,0507-1328-6284,현금 또는 계좌이체 시 10% 할인,충북 청주시 서원구 모충로25번길 20 1층
술집,육회관,043-264-7890,테이블당 한우얼큰라면 서비스 제공,충북 청주시 서원구 내수동로108번길 16 1층
술집,청송막걸리,043-266-1346,현금 결제시 5% 할인 또는 음료수 제공 / 테이블당 음료수 1개 제공,충북 청주시 서원구 내수동로114번길 26
술집,민속주점지리산,043-272-1883,5만원 이상 시 음료수 두 병 / 현금 or 계좌이체 시 5% 할인,충북 청주시 흥덕구 성봉로 299
술집,양파링,0507-1309-2523,3만원 이상 현금 or 계좌이체 시 10% 할인,충북 청주시 서원구 1순환로674번길 22 1층
술집,청춘상회,010-6578-6668,5만원 이상 현금 or 계좌이체 시 10% 할인,충북 청주시 서원구 1순환로672번길 48
술집,어로,0507-1433-0121,현금 or 계좌이체 시 5% 할인 및 기타 서비스 제공,충북 청주시 서원구 1순환로674번길 26 1층
술집,초장집,0507-1371-2815,음료수 및 안주 서비스,충북 청주시 서원구 내수동로114번길 60
술집,오징어바다,043-269-2588,학생증 제시 시 테이블당 음료수 1병 제공,충북 청주시 서원구 내수동로114번길 18
술집,부산오뎅,010-9379-8452,현금 or 계좌이체 시 10% 할인,충북 청주시 서원구 내수동로114번길 21
술집,룸메이트,010-2374-0823,5만원 이상 현금 or 계좌이체 시 소주 1병당 4000원 (테이블 전원 전정대 학생일 시),충북 청주시 서원구 1순환로674번길 24
술집,서울닭발,043-264-6258,전자정보대학 학생 3명 시 음료수 1병 / 4~6명 시 음료수 2병 제공,충북 청주시 서원구 모충로25번길 20
술집,팔팔어시장,043-902-8885,세트메뉴 주문 후 현금 or 계좌이체 시 5% (주류 제와) 할인 + 음료수 1개 제공,충북 청주시 서원구 모충로25번길 9
술집,이가네 전집,043-277-2003,테이블당 음료수 / 현금 or 계좌이체 시 5% 할인,충북 청주시 흥덕구 내수동로42번길 19
술집,안,0507-1309-3163,현금 or 계좌이체 시 5% 할인 (주말 제외),충북 청주시 서원구 내수동로108번길 27 4층
기타,황금찹쌀꽈배기,043-267-6000,현금 or 계좌이체 시 5% 할인,충북 청주시 서원구 성봉로 226-1
카페,아르뗴,070-4210-1122,"자연대 도장으로 쿠폰 5개 적립 시 아메리카노 한 잔, 10개 적립 시 모든 음료 한 잔 / 배달 시 요청사항에 자연대 학생 기입 시 마들렌 or 더치 서비스 / 아메리(카노 Take out 사이즈 업 시 500원 할인 / 학교 행사 중 음료 교환권 대량 구매 시 할인(축제, 야식마차 등)",충북 청주시 서원구 내수동로102번길 54
기타,스담헤어,043-273-0032,"펌, 염색 현금결제 시 10% 할인",충북 청주시 서원구 1순환로 674 1층
기타,죽빵당구장,010-7453-0459,현금 결제 시 10분 1000원,충북 청주시 서원구 1순환로672번길 31 4층 죽빵당구장
기타,만땅PC방,,현금 or 계좌이체 시 5000원 - 7시간 / 10000원 - 15시간,충북 청주시 흥덕구 성봉로 231
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
