type,name,phone_number,content,address
식당,한마음정육식당,043-260-4942,"돼지 한 마리 메뉴 주문 시 쫄면 제공 / 반 마리 주문 시 음료 1병 제공 (한 마리 반 주문 시 쫄면, 음료 1병 제공)",충청북도 청주시 서원구 사창동 440
식당,보승회관,043-262-9898,1테이블 당 음료수 1개 제공,충청북도 청주시 서원구 사창동 420-1
식당,쿡메시야,043-262-5522,2인당 음료 1병 제공 / 별도로 1인 방문 시 업체 사장님께 인증 시 음료 제공,충청북도 청주시 서원구 사창동 474-3 1층
식당,이런이궈,070-7576-2669,2인 이상 주문할 경우 음료 1병 제공,충청북도 청주시 서원구 사창동 510
식당,안녕닭,0507-1331-5076,"내점 시 : 평일, 주말 상관없이 1000원 할인 + 공기밥 2개 제공 (매장 식사 시에만 해당, 닭도리탕, 찜닭 한정)",충청북도 청주시 서원구 사창동 432 1층
카페,아르떼,0507-1463-1276,"아메리카노 Take out 사이즈 업 시 1000원 할인 / 24시간 운영 시 23~04시 사이에 무료 한 샷 추가 / 내점 시 : 3층 대관 할인 / 공대 도장으로 쿠폰 5개 적립 시 아메리카노 한 잔 무료, 쿠폰 10개 적립 시 모든 음료 가능  배달 시 : 요청사항에 충북대학교 공과대학 학생 기입 시 마들렌 또는 더치 서비스",충북 청주시 서원구 내수동로102번길 54
술집,육회관,043-264-7890,"한우 얼큰 라면 or 날치알 주먹밥 중 택 1 제공 (단, 타 이벤트 중복 불가)",충청북도 청주시 서원구 사창동 419 1층
술집,룸메이트,0507-1302-0823,과일 안주 제공 / 5만원 이상 계좌이체 계산 시 주류 1병 당 500원씩 할인,충청북도 청주시 서원구 사창동 440
식당,깐풍기브라더스,080-325-5131,뚝배기 떡볶이 제공,충청북도 청주시 서원구 사창동 442-1 1층
술집,주다방,043-266-9990,감자튀김 or 음료수 중 택 1 제공,충청북도 청주시 서원구 사창동 420
식당,파도리,043-272-0620,해물라면 제공,충청북도 청주시 서원구 사창동 431 1층
술집,장미맨숀,070-5111-7586,곱도리탕 or 닭도리탕 주문 시 날치알 서비스(배달 및 포장도 가능 -> 요청사항에 공대 적기) / 5인 이상 테이블 모둠튀김 서비스 / 메인 안주 2개 주문 시 사이드 메뉴 서비스 (3가지 이벤트 중 1가지만 가능),충청북도 청주시 서원구 사창동 492-4 1층
술집,청송 얼음 막걸리,043-266-1346,음료수 제공 및 현금 or 계좌이체 시 5% 할인,충청북도 청주시 서원구 사창동 502-1
카페,무니,0507-1431-9513,음료수 잔당 500원 할인,충청북도 청주시 서원구 사창동 476 1층
기타,현수헤어살롱,0507-1395-6654,"커트 계좌이체 시 1000원 할인 / 펌, 염색 비용 5000원 할인 / 100000원 이상 결제 시 10000원 할인 / 컷 + 다운펌 2000원 할인",충청북도 청주시 서원구 사창동 산62-7
기타,에이블 스튜디오,0507-1440-7111,"증명사진 2000원 할인 / 이미지사진 2000원 할인 (계좌이체, 현금결제 시 적용)",충청북도 청주시 서원구 사창동 457
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
