type,name,phone_number,content,address,,,,
식당,노랑통닭,043-263-9002,3만원 이상 현금결제 시 10% 할인,충북 청주시 서원구 내수동로102번길 52-1 노랑통닭 충북대점,,,,
식당,꼬불꼬불,043-272-9988,"계좌이체, 현금결제 시 5% 할인 or 음료수 1병",충북 청주시 서원구 1순환로 674번길 58,,,,
식당,청춘국물닭발,043-238-8080,"주먹밥류, 계란찜, 음료류 중 택 1",충북 청주시 서원구 1순환로694번길 13 청춘국물닭발 본점,,,,
식당,자연을 담은 돈까스,043-268-3366,2인당 음료 1뵹,충북 청주시 서원구 내수동로108번길 51,,,,
식당,일미리 금계찜닭,043-217-0703,"계란밥, 공깃밥, 음료, 우유튀심 중 택 1",충북 청주시 서원구 1순환로672번길 62,,,,
식당,에그문,0507-1318-7182,매장 방문 현금 결제 시 메뉴 당 1000원 할인,충북 청주시 서원구 내수동로114번길 9 에그문,,,,
술집,이팔청춘,043-260-6240,2만원 이상 주문 시 빙수 서비스 / 10인 미만 10만원 이상 주문 시 빙수 + 소주 서비스,충북 청주시 서원구 1순환로672번길 19,,,,
술집,설희,0507-1357-1544,사장님 특별서비스(주류 및 안주),충북 청주시 서원구 내수동로114번길 59 1층 설희,,,,
술집,룸메이트,010-2374-0823,"5만원 이상 현금결제, 계좌이체 시 소주 4000원 / 과일 서비스 + 단골일 경우 별도 서비스 제공",충북 청주시 서원구 1순환로674번길 24,,,,
술집,이쁘롬,010-9970-6409,"계좌이체, 현금결제 시 금액 상관없이 10% 할인",충북 청주시 서원구 내수동로108번길 27,,,,
술집,청춘상회,010-6578-6668,"5만원 이상 현금결제, 계좌이체 시 10% 할인",충북 청주시 서원구 1순환로672번길 48,,,,
술집,어로,0507-1433-0121,"현금결제, 계좌이체 시 5% 할인 + 서비스 제공",충북 청주시 서원구 1순환로674번길 26 1층,,,,
술집,청송 막걸리,043-266-1346,테이블 당 음료 1병 서비스 / 현금결제 시 5% 할인,충북 청주시 서원구 내수동로114번길 26,,,,
술집,양파링,0507-1309-2523,3만원 이상 결제 시 파인애플 샤베트 or 치즈볼 서비스,충북 청주시 서원구 1순환로674번길 22 1층,,,,
술집,별빛주막,010-2415-9372,기본 서비스 안주 3가지 + 안주 2가지,충북 청주시 서원구 1순환로672번길 45,,,,
술집,맥주바켓,043-264-0062,"맥주 500원, 양주 5000원 할인",충북 청주시 서원구 1순환로672번길 35,,,,
카페,스케치,010-5797-5882,"수플레, 음료 500원 중복 할인",충북 청주시 서원구 1순환로680번길 11,,,,
카페,헤이밀,0507-1429-1194,14시 이후 15000원 이상 주문 시 디저트 제공 (크로플 제외) / 18시 이후 1인당 음료 + 크로플 세트 500원 할인 / 아메리카노 샷 추가 무료,충북 청주시 서원구 1순환로704번길 20 1층,,,,
카페,아르떼,070-4210-1122,자이언트 아메리카노 1000원 할인 / 매장 쿠폰 5개 : 아메리카노 1잔 무료 / 매장 쿠폰 10개 : 모든 음료 가능,충북 청주시 서원구 내수동로102번길 54,,,,
기타,신스헤어,0507-1488-1988,"파마, 염색 10% 할인 / 컷트 1000원 할인 (카드할인 X) (부분펌, 다운펌, 앞머리펌, 부분컷, 앞머리컷, 샴푸는 할인제외)",충북 청주시 서원구 1순환로672번길 35,,,,
기타,리소뷰티,0507-1350-5552,"왁싱 시술 시 최대 50% 할인(헤어라인, 인중 50% 할인, 브라질리언 왁싱 30% 할인, 그 외 왁싱 3만원 이상 시술 시 10% 할인) / 반영구 시술 시 만원 할인 / 네일아트 원컬러 시 컬러추가 무제한 / 네일케어 만원",충북 청주시 서원구 1순환로704번길 26,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
