type,name,phone_number,content,address,collage
식당,다낭,043-235-6522,한 테이블 당 음료수 1캔,충북 청주시 승덕구 오송읍 오송생명3로 65-22,약대
식당,빅쭌 부대찌개,0507-1382-2232,"수제비사리, 만두사리, 음료수 중 1개 (배달X)",충북 청주시 흥덕구 오송읍 오송생명3로 55 102호,약대
식당,두찜 청주오송점,043-232-3997,"납작만두, 튀김오뎅, 고구마, 무, 공기밥, 음료 사이즈업 중 1개 서비스 (배달O)",충북 청주시 흥덕구 오송읍 오송생명3로 184-12,약대
식당,라맛쿵부,0507-1460-6695,2만원 이상 주문 시 음료수 1병,충북 청주시 흥덕구 오송읍 오송생명3로 65-15 1층 102호,약대
식당,북경 양꼬치,043-231-5750,3만원 이상 주문시 파단두부 제공 / 현금 결제 시 10% 할인(배달X),충북 청주시 흥덕구 오송읍 오송가락로 255-8,약대
식당,교촌치킨 오송점,043-236-1992,웨지감자 or 콜라 1.25L(배달X),충북 청주시 흥덕구 오송읍 오송생명로 200 (주)예스 오피스텔,약대
식당,처갓집,043-235-8292,"방문시 현금 2000원 할인, 카드 1000원 할인",충북 청주시 흥덕구 오송읍 오송가락로 255-16,약대
식당,푸라닭 오송점,0507-1435-9206,500ml로 사이즈 업 해서 제공 (배달O),충북 청주시 흥덕구 오송읍 오송생명로 206-11,약대
식당,왕천파닭,043-234-4727,홀이랑 포장 시 한마리당 콜라 1.25L 서비스(배달X),충북 청주시 흥덕구 오송읍 연제만수길 35,약대
식당,가장 맛있는 족발,0507-1328-5849,테이블당 음료 1병 (배달 X),충북 청주시 흥덕구 오송읍 오송생명로 206-13 거송빌딩 1층,약대
식당,9292 뒷고기,043-237-9222,한 테이블 당 음료 또는 껍데기 (배달X),충북 청주시 흥덕구 오송읍 만수길 16 당미건웅하우스,약대
식당,춘천 왕닭갈비,043-231-3298,3명 이상 음료수 1병 (배달X),충북 청주시 흥덕구 오송읍 연제만수길 45,약대
식당,파랑고기,043-233-3349,4인 기준 테이블당 음료수 제공(배달X),충북 청주시 흥덕구 오송읍 연제만수길 59 1층,약대
식당,신안 왕소금구이,0507-1491-3396,식사 시 천원 할인 / 고기 주문시 음료 2캔 or 된장찌개(배달X),충북 청주시 흥덕구 오송읍 오송생명로 208-16,약대
식당,응급실 떡볶이,0507-1339-4003,"2만원 이상 구매 시 치즈 서비스 (배달팁 미포함, 포장가능)",충북 청주시 흥덕구 오송읍 오송생명로 178,약대
카페,김칠복 커피,0507-1469-3307,커피메뉴 1잔 당 500원 할인,충북 청주시 흥덕구 오송읍 오송생명로 158 102호 김칠복커피,약대
카페,687 로스팅 카페,010-4089-2239,10% 할인 (배달X),충북 청주시 흥덕구 오송읍 만수길 31-8 102호 687로스팅카페,약대
카페,카페 540,0507-1379-4600,커피음료에 한해 500원 할인 (배달X),충북 청주시 흥덕구 오송읍 연제1길 24-35,약대
카페,카페미담,043-233-1652,만원 이상 구매시 쿠키류 한 개 (배달 X),충북 청주시 흥덕구 오송읍 오송생명3로 65-22 101호,약대
카페,요거프레소,043-233-7795,방문시 10% 할인 (배달 X),충북 청주시 흥덕구 오송읍 오송생명3로 31 두산위브센티움,약대
카페,리얼까까,0507-1333-9906,15000원 이상 구매 시 머랭쿠키 제공(배달O),충북 청주시 흥덕구 오송읍 오송생명로 210 오송스퀘어빌딩 110호 리얼까까,약대
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
