type,name,phone_number,content,address,collage
미술,순수화방,043-273-6999,5% 할인,충북 청주시 흥덕구 충대로 6,융합학과군
카페,아르떼,070-4210-1122,Take out 시 500원 추가로 사이즈 업 (아메리카노 한정) / 내점 쿠폰 5개 : 아메리카노 무료,충북 청주시 서원구 내수동로102번길 54,융합학과군
술집,너구리,043-272-9500,물만두 또는 음료수 제공,충북 청주시 서원구 1순환로672번길 49,융합학과군
식당,이런이궈,070-7576-2669,테이블 당 음료수 하나 제공,충북 청주시 서원구 1순환로680번길 23,융합학과군
식당,꼬불꼬불,043-272-9988,현금 결제 시 음료수 서비스 또는 5% 할인,충북 청주시 서원구 1순환로 674번길 58,융합학과군
식당,삼미 닭갈비,043-264-3156,현금이나 계좌이체 시 드신 금액의 만원 단위 10% 할인,충북 청주시 서원구 내수동로102번길 46,융합학과군
식당,삼춘네 삼겹살,043-260-5059,4인 입장 시 1.25L 음료수 제공,충북 청주시 서원구 내수동로108번길 27 3층,융합학과군
사진관,에이블 스튜디오,043-266-7111,증명사진 촬영 현금 결제 시 2000원 할인 / 취업사진 풀패키지 촬영 시 5000원 할인 / 셀프 촬영 시 액자 무료 증정 (포토 플레이),충북 청주시 서원구 1순환로672번길 52 신이빌딩 지하 1층,융합학과군
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
