type,name,phone_number,content,address,collage
식당,비케케선셋,0507-1418-7827,학생증 제시 시 에이드 제공,충북 청주시 상당구 상당로115번길 27 1층,총학생회
식당,하나노세이슌,0507-1444-2522,1인 1음료 제공,충북 청주시 상당구 교서로32번길 20,총학생회
식당,키와마루아지,043-232-5825,그릇당 음료 1개 제공 / 현금 결제 시 그릇당 500원 할인,충북 청주시 흥덕구 진재로 141 롯데캐슬시티 1층,총학생회
식당,연이자카야,043-221-1810,3만원 이상 결제 시 10% 할인 / 테이블당 음료 1잔 제공,충북 청주시 상당구 상당로81번길 9-5,총학생회
카페,버몬트하우스,,15000원 이상 구매 시 10% 할인,충청북도 청주시 흥덕구 복대2동 871-7,총학생회
카페,블루체어라운지,043-285-3651,전 메뉴 10% 할인,충북 청주시 서원구 2순환로 1618 B동 1층,총학생회
카페,광순,0507-1327-3185,학생증 제시 시 음료 10% 할인,충북 청주시 상당구 상당로59번길 12-8,총학생회
기타,더최고 부동산,0507-1356-1212,자취가이드북 자료제공 / 충북대학교 학생 복비 무료,충북 청주시 서원구 1순환로 688,총학생회
기타,홍쌤 토익,0507-1414-0545,충북대학교 학생 3만원 할인,충북 청주시 서원구 사직대로 108,총학생회
기타,더최고 부동산,0507-1356-1212,자취가이드북 자료제공 / 충북대학교 학생 복비 무료,충북 청주시 서원구 1순환로 688,총학생회
기타,아이티 버팀목,,충북대학교 학생 인증 시 20% 할인,,총학생회
기타,SOCAR,,교내 차량이용 대금 30% 무제한 쿠폰(1년),,총학생회
기타,BEAM,,캠퍼스 내 / 인근 특별 주차구역 설정,,총학생회
기타,영단기,,"영단기 패키지 1년 수강권 지원 / 총 12개월 전과목 무제한 반복수강 가능 / 토익 교재 3권 지원 (개념반, 실전반 택 1) / 토익 스피킹 교재 1권 지원 + 해당 강의 1년 지원 / 정상 수강료 85% 지원 / 일시정지기능(300일) + 모바일 지원 / IT 1년 수강권 및 PEF 교재 지원 / 빈출 모의고사 5회 교재 지원, 토익 기출 보카 지원 (택 1) / 공단기 NSC교재 및 1년 수강권 지원(선텍) / 공단기(공무원 프리패스 과정) 15만원 할인권 지원(선택)",,총학생회
기타,에비수 메이크업,,"평일 남, 녀 메이크업, 헤어메이크업 1만원 무료",,총학생회
기타,밝은 눈 안과,,"충북대학교 학생 및 가족에 한해 라식, 라섹, 스마일, 백내장, 렌즈삽입술, 노안교정 / 본원 최대 혜택 제공",,총학생회
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
