type,name,phone_number,content,address
식당,이런이궈,070-7576-2669,음료수 테이블당 1개 증정,충북 청주시 서원구 1순환로680번길 23
식당,짚신스시&롤,043-273-7076,음료수 테이블당 1개 증정,충북 청주시 서원구 1순환로674번길 14
식당,자연을 담은 돈까스,043-268-3366,3인 이상 음료수 테이블당 1개 증정,충북 청주시 서원구 내수동로108번길 51
식당,꼬불꼬불,010-3351-0699,음료수 테이블당 1개 증정,충북 청주시 서원구 1순환로674번길 58
식당,삼춘네 삼겹살,043-260-5059,4인 이상 음료수 테이블당 1개 증정,충북 청주시 서원구 내수동로108번길 27 3층
카페,아르떼,0507-1463-1276,"자이언트 아메리카노 테이크아웃 시 1,000원 할인",충북 청주시 서원구 내수동로102번길 54
카페,무니,0507-1431-9513,음료 1잔당 500원 할인,충북 청주시 서원구 1순환로674번길 21 1층
카페,헤이밀,0507-1429-1194,"15시 이후 15,000원 이상 아메리카노 1잔 무료",충북 청주시 서원구 1순환로704번길 20 1층
카페,Cafe in,0507-1322-2568,아메리카노 제외 모든 음료 1잔당 500원 할인,충북 청주시 서원구 내수동로114번길 18
술집,초장집,0507-1371-2815,사장님 재량 안주 혹은 음료 제공,충북 청주시 서원구 내수동로114번길 60
술집,온아적정,0507-1319-9426,3만원 이상 현금시 소주 각 500원 할인,"충북 청주시 서원구 내수동로102번길 50 2층, 온아적정"
술집,뻘건집,043-267-4325,5만원 이상 결제시 라면 서비스,"충청북도 청주시 서원구 내수동로114번길 42, 1층 (사창동)"
술집,이가네 전집,043-277-2003,현금 결제시 5%할인,충북 청주시 흥덕구 내수동로42번길 19
술집,룸메이트,010-2374-0823,5만원 이상 현금 결제시 소주 각 500원 할인,충북 청주시 서원구 1순환로674번길 24
술집,야한식당,010-6647-0763,테이블 당 음료수 1병 제공,충북 청주시 서원구 1순환로 698
술집,양파링,0507-1309-2533,3만원 이상 현금시 10% 할인,충북 청주시 서원구 1순환로674번길 22 1층
술집,2From,0507-1317-6409,금액제한 없이 현금 결제시 10% 할인,충북 청주시 서원구 1순환로674번길 22 1층
