type,name,phone_number,content,address,collage
식당,멘야마쯔리,043-268-3364,2인당 음료수 1캔,충북 청주시 서원구 내수동로102번길 54 1층 멘야마쯔리 충북대점,사범대
식당,삼미닭갈비,043-264-3156,"현금 결제시 금액의 만원 단위 10% 할인(단, 30명 이상일 경우 협의 하의 할인)",충북 청주시 서원구 내수동로102번길 46,사범대
식당,서기치킨,,"치즈볼3p, 소떡소떡 1p, 음료수 1.25L 중 택 1",충청북도 청주시 서원구 사창동 416번지 KR 1층,사범대
식당,평민족발,0507-1332-7267,"소주 3000원, 맥주 4000원, 4인 이상 방문시 막국수 제공",충북 청주시 서원구 내수동로108번길 18,사범대
식당,자연을 담은 돈가스 (자담돈),043-268-3366,테이블 당 음료수 하나 제공,충북 청주시 서원구 내수동로108번길 51,사범대
식당,빨봉분식,043-267-7897,테이블 당 튀김 오뎅 6개 제공,충청북도 청주시 흥덕구 사창동,사범대
식당,짚신 스시,043-217-0703,2인 이상 현금 결제시 음료수,충북 청주시 서원구 1순환로 674번길 14,사범대
식당,빅 돈부리,043-267-8988,현금 결제 시 10% 할인 또는 음료수 제공 / 5000원 이상 카드 결제시 음료수 제공,충북 청주시 서원구 1순환로674번길 62,사범대
식당,꼬불꼬불,043-272-9988,현금 결제시 5% 할인 또는 음료수 중 택 1,충북 청주시 서원구 1순환로 674번길 58,사범대
식당,윤치리네 김치찌개,0507-1434-8855,테이블 당 라면사리 제공,충북 청주시 서원구 1순환로674번길 52 2층,사범대
식당,도니스토리,0507-1398-3481,"볶음밥, 냉면, 도시락 중 택 1",충북 청주시 서원구 내수동로108번길 19,사범대
식당,도누가 그릴,043-265-9300,"볶음밥, 냉면, 도시락 중 택 1",충청북도 청주시 흥덕구 사창동 441,사범대
식당,삼춘네,0507-1350-5059,4인 이상 방문시 1.5L 음료수 제공,충북 청주시 서원구 내수동로108번길 27 3층,사범대
식당,청춘닭발,043-238-8080,"계란찜, 주먹밥, 쿨피스 중 택 1",충북 청주시 서원구 1순환로694번길 13 청춘국물닭발 본점,사범대
식당,칠돼지 순대국밥,043-278-7900,현금 결제시(3000원 이상) 5% 할인,충북 청주시 서원구 내수동로108번길 26,사범대
식당,일미 닭갈비,043-268-3212,치즈 사리 or 음료수 1병 서비스,충북 청주시 흥덕구 충대로 14 일미닭갈비파전,사범대
술집,평민 닭발,0507-1350-7287,"껍데기 볶음, 통닭 중 1 무료",충북 청주시 서원구 내수동로114번길 36 1층 평민닭발,사범대
술집,포차의 정석,070-7569-1244,"9시 이전 안주 50% / 9시 감자튀김, 황도, 수박 제공",충북 청주시 서원구 산남로62번길 31,사범대
술집,주막태,,"10% 할인 (금, 토일 제외)",충북 청주시 서원구 내수동로108번길 18,사범대
술집,안,0507-1309-3163,"10% 할인 (금, 토 제외)",충북 청주시 서원구 내수동로108번길 27 4층,사범대
술집,육회관,043-264-7890,한우라면 서비스,충북 청주시 서원구 내수동로108번길 16 1층,사범대
술집,이팔청춘,043-260-6240,1인당 15000원 이상 드시면 이팔안주 및 소주 한 병 제공 / 5인 이상이 10만원 이상 결제 시 소주 한 병 제공 / 20인 이상이 20만원 이상 결제 시 소주 2병 및 안주 1개 제공 / 초코에몽 사드실 분 중 사장님과 가위바위보 해서 이기면 무료,충북 청주시 서원구 1순환로672번길 19,사범대
술집,이닭포차,043-263-9911,테이블 당 음료수 하나 제공,충북 청주시 서원구 내수동로108번길 23,사범대
술집,옆집,,"일품류 1000원 할인, 일품류 외 메인안주 2000원 할인 / 안주 한 개 당 쿨피스 하나 제공",충북 청주시 서원구 내수동로108번길 15,사범대
술집,무지개 맥주,0507-1366-1801,"8시 이전 감자튀김 무료, 10인 이상 10% 할인 / 2인 이상 테이블 음료수, 3인 이상 or 맥주 / 4인 이상 파인샤배트 제공 / 무지개 맥주 내 사범대 4테이블 이상 시 테이블당 1000cc 제공 (모두 금, 토 제외)",충북 청주시 흥덕구 내수동로 30-1,사범대
술집,꼬막태,010-3171-4377,"음료수 500ml, 날치알 주먹밥, 현금 결제시 대통술과 감로주 1+1 중 택 1",충북 청주시 서원구 내수동로108번길 16 1층,사범대
술집,룸메이트,010-2374-0823,5만원 이상 현금 결제 또는 계좌이체 시 소주 4000원,충북 청주시 서원구 1순환로674번길 24,사범대
술집,청송 막걸리,043-266-1346,현금 결제시 5% 할인 / 테이블당 음료수 1개,충북 청주시 서원구 내수동로114번길 26,사범대
술집,주거래처,043-269-3304,테이블 당 음료수 제공 / 5만원 이상 주문시 3900원 메뉴 제공,충청북도 청주시 흥덕구 사창동 476,사범대
카페,카페인,0507-1322-0021,모든 메뉴 1000원 할인 (아메리카노 제외),충북 청주시 서원구 내수동로114번길 18,사범대
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
