type,name,phone_number,content,address,,,,
식당,청춘국물닭발,043-238-8080,테이블 당 쿨피스 / 주먹밥 / 계란찜 중 택 1 제공,충북 청주시 서원구 1순환로694번길 13 청춘국물닭발 본점,,,,
식당,가마꿉,0507-1348-0338,3만원 이상 결제 시 테이블 당 음료 500ml 제공,충북 청주시 흥덕구 장구봉로 147,,,,
식당,삼춘네 삼겹살,0507-1350-5059,4인 이상 방문 시 1.25L 음료수 제공,충북 청주시 서원구 내수동로108번길 27 3층,,,,
식당,소주신랑 보쌈부인,0507-1467-1478,2인 이상 방문해서 현금결제 또는 계좌이체 시 테이블 당 음료수 한 병 제공,충북 청주시 서원구 1순환로674번길 26,,,,
식당,청주빈대떡,043-272-9631,3만원 이상 결제 시 테이블 당 옛날도시락 또는 음료 제공,충북 청주시 서원구 장구봉로 128,,,,
술집,꼬막태,0507-1377-3891,음료수 500ml 또는 날치알 주먹밥 중 택 1 제공,충북 청주시 서원구 내수동로108번길 16 1층,충북 청주시 서원구 내수동로108번길 16 1층,충북 청주시 서원구 내수동로108번길 16 1층,충북 청주시 서원구 내수동로108번길 16 1층,충북 청주시 서원구 내수동로108번길 16 1층
술집,꼬불꼬불,043-272-9988,현금결제 시 5% 할인 또는 테이블 당 음료수 한 병 제공,충북 청주시 서원구 1순환로 674번길 58,,,,
술집,청송막걸리,043-266-1346,현금 결제시 5% 할인 / 테이블 당 음료수 1개 제공,충북 청주시 서원구 내수동로114번길 26,,,,
기타,만땅PC,,5000원 당 7시간 / 10000원 당 15시간,충북 청주시 흥덕구 성봉로 231,,,,
기타,제이헤어,010-4313-8910,기본 10~20% 할인 / 3월 여자 컷트 13000원 남자 컷트 10000원 (매달 할인이벤트가 달라짐),충북 청주시 흥덕구 충대로 4 2층,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
